time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
10.100806,-0.0505,-0.0905,-0.633,0.641
10.120954,0.1189,0.4632,-1.3226,1.406
10.153691,0.3573,1.0713,-1.9992,2.296
10.189159,0.0007,0.7582,-1.4192,1.609
10.190135,0.0007,0.7582,-1.4192,1.609
10.203015,-0.0642,0.4067,-0.8719,0.964
10.222209,-0.134,0.1884,-0.2288,0.325
10.242563,-0.1192,0.1459,0.5621,0.593
10.264554,-0.1073,0.1199,0.8609,0.876
10.28503,-0.0611,0.2303,0.585,0.632
10.306754,0.0025,0.3484,0.497,0.607
10.341778,-0.0875,0.2279,0.4436,0.506
10.367206,0.0084,-0.0038,0.9087,0.909
10.389565,0.5326,-0.4609,1.7021,1.842
10.390413,0.5326,-0.4609,1.7021,1.842
10.411023,0.6408,-0.6333,2.0733,2.261
10.431873,0.0979,-0.0277,1.6621,1.665
10.451047,-0.2123,0.0467,0.4099,0.464
10.475853,-0.6022,0.277,-0.1056,0.671
10.492113,-0.4842,0.0032,0.521,0.711
10.513246,-0.4476,-0.5199,1.5618,1.706
10.533678,-0.7707,-0.936,1.6842,2.075
10.55992,-1.2407,-0.7725,-0.0448,1.462
10.588134,-0.922,-0.415,-1.6351,1.922
10.60907,-0.4476,-0.2112,-2.2118,2.266
10.626748,0.1908,-0.2181,-1.8081,1.831
10.642383,0.28,-0.2902,-1.22,1.285
10.65849,0.3563,-0.482,-0.7354,0.949
10.6792,0.339,-0.7509,-0.3652,0.901
10.712858,-0.236,-0.6259,0.1934,0.696
10.724456,-0.4108,-0.6046,0.0803,0.735
10.741093,-0.4887,-0.4354,-0.5326,0.844
10.75759,-0.344,-0.1215,-1.1834,1.238
10.779225,0.14,0.1406,-1.5929,1.605
10.815033,0.5148,0.2071,-1.1421,1.27
10.826577,0.4264,0.0933,-0.7736,0.888
10.843171,0.3468,-0.1367,-0.5022,0.625
10.860216,0.1805,-0.2462,-0.3131,0.437
10.880411,-0.0383,-0.2709,-0.053,0.279
10.916233,-0.4176,-0.2336,0.0455,0.481
10.927828,-0.4377,0.0171,0.0618,0.442
10.943518,-0.4025,0.2184,0.1355,0.478
10.962602,-0.2727,0.5961,0.0874,0.661
10.986646,-0.0193,0.5681,-0.3035,0.644
11.011787,0.2369,0.5175,-0.0995,0.578
11.027589,0.3616,0.2946,0.3664,0.593
11.045393,0.0911,0.0692,1.5019,1.506
11.061743,-0.5265,0.5537,2.1779,2.308
11.0824,-0.2871,0.338,2.0304,2.078
11.11687,0.7068,-0.4776,2.5382,2.678
11.129621,0.6454,-0.2773,2.8409,2.926
11.147105,0.437,-0.042,2.5145,2.553
11.164349,0.3567,-0.0402,0.8716,0.943
