time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
9.711568,-0.1043,-0.0768,0.166,0.211
9.740205,-0.0675,-0.0508,0.0066,0.085
9.749241,-0.0242,-0.0345,-0.0431,0.06
9.768784,0.0342,0.0006,-0.1021,0.108
9.789234,0.0415,-0.0108,0,0.043
9.811837,0.0428,-0.0499,-0.0734,0.099
9.8443,0.0604,0.0052,-0.0688,0.092
9.850138,0.0828,0.0166,-0.054,0.1
9.871338,0.0588,-0.0009,-0.0335,0.068
9.890919,0.0109,-0.0595,0.0282,0.067
9.91106,0.0257,-0.0587,-0.015,0.066
9.93885,0.0578,0.0605,0.0166,0.085
9.952071,0.0319,0.0305,-0.0359,0.057
9.973762,-0.0277,-0.0064,-0.0812,0.086
9.994657,0.0296,0.0137,0.0313,0.045
10.019707,0.0055,-0.0054,0.0341,0.035
10.043682,-0.0693,-0.0312,0.1129,0.136
10.055295,-0.0393,-0.0278,0.1109,0.121
10.076918,-0.0756,-0.0214,0.0393,0.088
10.097568,-0.0099,0.0224,-0.0133,0.028
10.119254,-0.0213,0.0657,0.0136,0.07
10.150863,-0.0192,0.0129,0.0325,0.04
10.158023,-0.0148,-0.0044,0.0228,0.027
10.178497,-0.0087,0.0322,0.0812,0.088
10.199294,0.02,-0.0094,-0.0018,0.022
10.222229,0.0451,0.0345,-0.0591,0.082
10.250192,0.0159,-0.002,-0.0694,0.071
10.259999,0.015,-0.0008,-0.0878,0.089
10.280714,0.0094,0.0373,-0.1263,0.132
10.301404,0.0257,0.0437,-0.136,0.145
10.321113,-0.0266,-0.0534,0.1315,0.144
10.344118,-0.1138,-0.1878,0.3275,0.394
10.362222,-0.0422,-0.1343,0.1075,0.177
10.382776,0.0748,0.0637,-0.0645,0.118
10.403106,0.0916,0.109,-0.1465,0.204
10.423011,0.0657,0.0754,-0.1506,0.181
10.457018,-0.0115,-0.058,0.1065,0.122
10.465248,-0.006,-0.0602,0.1151,0.13
10.485081,0.0214,-0.0476,0.0805,0.096
10.505665,0.0019,-0.0436,-0.1047,0.113
10.528784,0.0749,0.0526,-0.0282,0.096
10.558192,0.0057,0.0583,-0.217,0.225
10.565631,0.006,0.0587,-0.2248,0.232
10.586848,-0.0182,0.0496,-0.0021,0.053
10.607227,-0.0174,-0.0202,0.1683,0.17
10.628043,-0.0297,-0.0289,0.1133,0.121
10.660501,-0.0184,0.0397,-0.0318,0.054
10.667675,-0.0165,0.0555,-0.0242,0.063
10.688297,-0.0272,0.0589,-0.0257,0.07
10.719471,-0.0859,-0.0683,0.1385,0.177
10.753948,-0.0531,-0.0859,0.1787,0.205
10.754849,-0.0531,-0.0859,0.1787,0.205
10.769833,0.0151,-0.0562,0.0802,0.099
10.791236,0.055,0.0003,-0.0182,0.058
10.820135,0.0162,-0.0052,-0.0209,0.027
10.844552,0.0181,0.022,-0.0253,0.038
10.851196,0.0185,0.0191,-0.044,0.051
10.872501,0.0984,0.0462,-0.1549,0.189
10.89303,0.0958,0.0352,-0.1759,0.203
10.919278,0.0447,0.0059,-0.1019,0.111
10.944681,-0.0113,0.0118,-0.1042,0.105
10.953803,-0.0169,0.0173,-0.0796,0.083
10.974331,-0.059,-0.0549,0.0662,0.104
10.994721,-0.0279,-0.0723,0.0799,0.111
11.019769,-0.0037,-0.0198,0.049,0.053
11.043847,-0.0061,-0.0391,-0.0157,0.043
11.054939,-0.0069,-0.0148,-0.006,0.017
11.076047,0.0322,0.028,0.0027,0.043
11.09628,0.0032,0.0236,-0.0001,0.024
11.120372,0.0449,0.032,-0.0696,0.089
11.152556,0.0311,-0.056,0.0569,0.086
11.157236,0.0215,-0.0619,0.0493,0.082
11.177163,-0.0233,-0.0653,0.0569,0.09
11.19765,-0.0265,0.0117,-0.0883,0.093
11.220442,0.0341,0.0661,0.0471,0.088
11.243547,-0.015,-0.0337,0.1113,0.117
11.259506,-0.0091,-0.0407,-0.0419,0.059
11.279551,0.0485,0.0343,-0.0921,0.11
11.300148,0.0013,0.0279,0.0638,0.07
11.319925,-0.0211,-0.0516,0.1311,0.142
11.353806,0.0175,-0.0108,0.1775,0.179
11.362264,0.0328,-0.0207,0.0894,0.097
11.381081,0.0728,-0.0113,-0.0352,0.082
11.402304,0.061,0.0189,-0.1603,0.173
11.422166,-0.0094,-0.0255,-0.0634,0.069
11.444208,-0.1011,-0.0937,-0.0366,0.143
11.463713,-0.0481,-0.0109,-0.2535,0.258
11.483809,0.0423,0.037,-0.1812,0.19
11.504069,-0.0015,-0.0436,0.0117,0.045
11.528439,-0.0123,-0.05,0.0784,0.094
11.558983,0.0776,0.1074,0.0357,0.137
11.56548,0.0614,0.0772,-0.0594,0.115
11.586686,0.0621,0.0736,0.0044,0.096
11.606801,0.0241,0.0075,0.2101,0.212
11.627021,-0.0097,-0.0664,0.2446,0.254
11.658662,0.011,0.0161,0.1066,0.108
11.667371,0.0238,0.0373,0.0104,0.045
11.688313,0.0328,0.0592,-0.0951,0.117
11.709096,0.0507,0.048,-0.0795,0.106
11.728621,0.0035,0.0094,-0.0837,0.084
11.760549,-0.0511,-0.0247,0.0031,0.057
11.76984,-0.0463,-0.0341,0.0432,0.072
11.791346,-0.0352,-0.0481,-0.0473,0.076
11.812443,-0.0091,-0.037,0.0459,0.06
11.831819,0.0233,-0.0203,-0.0028,0.031
11.857779,0.0425,0.041,-0.0434,0.073
11.87237,0.0019,-0.0112,-0.0356,0.037
11.892922,-0.0796,-0.0463,0.1089,0.143
11.927108,-0.0103,0.0076,0.0443,0.046
11.955727,-0.0052,-0.0067,-0.0743,0.075
11.956188,-0.0052,-0.0067,-0.0743,0.075
11.975499,0.0029,0.004,-0.0717,0.072
11.995396,-0.0169,0.0181,-0.0274,0.037
12.027339,-0.0222,-0.0154,-0.0054,0.028
12.056849,-0.0381,-0.0368,0.0225,0.058
12.057362,-0.0332,-0.0396,-0.0038,0.052
12.076564,-0.033,-0.0412,-0.1283,0.139
12.097949,0.0486,0.0104,0.0129,0.051
12.11794,-0.0207,-0.0737,0.0808,0.111
12.152731,-0.0017,-0.0329,0.0377,0.05
12.158272,0.0111,0.0134,-0.0031,0.018
12.178452,0.042,0.0147,0.035,0.057
12.199199,-0.0115,-0.0552,-0.0321,0.065
12.228142,-0.0084,0.0158,0.0516,0.055
