time,gFx,gFy,gFz,TgF
20.028361,0.0317,0.0304,-0.9875,0.99
20.04527,0.0293,0.0304,-0.988,0.99
20.065993,0.0302,0.0294,-0.986,0.99
20.085108,0.0307,0.0299,-0.9816,0.98
20.111268,0.0273,0.0274,-0.9899,0.99
20.128445,0.0283,0.0294,-0.9924,0.99
20.15418,0.0219,0.0299,-0.9894,0.99
20.179439,0.0239,0.0289,-0.984,0.98
20.193322,0.0268,0.0294,-0.9894,0.99
20.211282,0.0263,0.0309,-0.9968,1
20.235867,0.0312,0.0348,-0.9831,0.98
20.247452,0.0342,0.0309,-0.9689,0.97
20.267727,0.0327,0.0309,-0.965,0.97
20.294348,0.0234,0.0289,-0.9787,0.98
20.310645,0.0175,0.0284,-0.9953,1
20.336399,0.0136,0.0309,-1.0046,1.01
20.350433,0.0136,0.0304,-0.9982,1
20.369775,0.0185,0.0284,-0.9904,0.99
20.393507,0.0219,0.0323,-0.9821,0.98
20.410329,0.0229,0.0333,-0.984,0.98
20.435387,0.0229,0.0318,-0.9855,0.99
20.45286,0.0219,0.0294,-0.9836,0.98
20.471392,0.021,0.0299,-0.9855,0.99
20.49254,0.019,0.0289,-0.9889,0.99
20.517526,0.021,0.0328,-0.988,0.99
20.53465,0.0219,0.0343,-0.9845,0.99
20.563006,0.0205,0.0323,-0.9836,0.98
20.572774,0.0195,0.0313,-0.985,0.99
20.600842,0.018,0.0323,-0.9899,0.99
20.61823,0.02,0.0294,-0.9919,0.99
20.633243,0.0185,0.0299,-0.9924,0.99
20.660134,0.0205,0.0299,-0.9855,0.99
20.679319,0.0205,0.0304,-0.9845,0.99
20.701079,0.0244,0.0313,-0.987,0.99
20.717197,0.0239,0.0294,-0.9889,0.99
20.734361,0.0219,0.0284,-0.988,0.99
20.758414,0.0229,0.0299,-0.986,0.99
20.790778,0.0224,0.0309,-0.987,0.99
20.799588,0.021,0.0313,-0.985,0.99
20.816338,0.02,0.0313,-0.9855,0.99
20.842667,0.0205,0.0318,-0.9894,0.99
20.861372,0.0214,0.0318,-0.986,0.99
20.881598,0.0219,0.0338,-0.9865,0.99
20.899609,0.0205,0.0328,-0.987,0.99
20.923666,0.0214,0.0318,-0.986,0.99
20.93978,0.0214,0.0309,-0.9884,0.99
20.958721,0.0224,0.0333,-0.9899,0.99
20.980607,0.0229,0.0294,-0.9894,0.99
20.998906,0.0258,0.0309,-0.9865,0.99
